leg_group_id,from_area_id,to_area_id,fare_product_id
EDM,1EDM,1EDM,EdmontonArc
EDM,1EDM,1EDM,EdmontonCash
To_Airport,1EDM,1AIR,AirportArc
To_Airport,1EDM,1AIR,AirportCash
From_Airport,1AIR,1EDM,AirportArc
From_Airport,1AIR,1EDM,AirportCash
STAT,2STA,2STA,STATArcLocal
STAT,2STA,2STA,STATCashLocal
STAT-EDM,2STA,1EDM,STATArcCommuter
STAT-EDM,2STA,1EDM,STATCashCommuter
EDM-STAT,1EDM,2STA,STATArcCommuter
EDM-STAT,1EDM,2STA,STATCashCommuter
SCT,4SCT,4SCT,SCTArcLocal
SCT,4SCT,4SCT,SCTCashLocal
SCT-EDM,4SCT,1EDM,SCTArcCommuter
SCT-EDM,4SCT,1EDM,SCTCashCommuter
EDM-SCT,1EDM,4SCT,SCTArcCommuter
EDM-SCT,1EDM,4SCT,SCTCashCommuter
SG,5SGT,5SGT,SGArcLocal
SG,5SGT,5SGT,SGCashLocal
SG-EDM,5SGT,1EDM,SGArcCommuter
SG-EDM,5SGT,1EDM,SGCashCommuter
EDM-SG,1EDM,5SGT,SGArcCommuter
EDM-SG,1EDM,5SGT,SGCashCommuter
FST,6FST,6FST,FSTArcLocal
FST,6FST,6FST,FSTCashLocal
FST-SCT,6FST,4SCT,FSTArcCommuter
FST-SCT,6FST,4SCT,FSTCashCommuter
SCT-FST,4SCT,6FST,FSTArcCommuter
SCT-FST,4SCT,6FST,FSTCashCommuter
BT,7BT,7BT,BTArcLocal
BT,7BT,7BT,BTCashLocal
BT-EDM,7BT,1EDM,BTArcCommuter
BT-EDM,7BT,1EDM,BTCashCommuter
EDM-BT,1EDM,7BT,BTArcCommuter
EDM-BT,1EDM,7BT,BTCashCommuter
LT,9LT,9LT,LTArcLocal
LT,9LT,9LT,LTCashLocal
EDM-LT,1EDM,9LT,LTArcCommuter
EDM-LT,1EDM,9LT,LTCashCommuter
LT-EDM,9LT,1EDM,LTArcCommuter
LT-EDM,9LT,1EDM,LTCashCommuter
EDM,1EDM,1EDM,EdmontoncEMV
To_Airport,1EDM,1AIR,AirportcEMV
From_Airport,1AIR,1EDM,AirportcEMV
STAT,2STA,2STA,STATcEMVLocal
STAT-EDM,2STA,1EDM,STATcEMVCommuter
EDM-STAT,1EDM,2STA,STATcEMVCommuter
SCT,4SCT,4SCT,SCTcEMVLocal
SCT-EDM,4SCT,1EDM,SCTcEMVCommuter
EDM-SCT,1EDM,4SCT,SCTcEMVCommuter
SG,5SGT,5SGT,SGcEMVLocal
SG-EDM,5SGT,1EDM,SGcEMVCommuter
EDM-SG,1EDM,5SGT,SGcEMVCommuter
FST,6FST,6FST,FSTcEMVLocal
FST-SCT,6FST,4SCT,FSTcEMVCommuter
SCT-FST,4SCT,6FST,FSTcEMVCommuter
BT,7BT,7BT,BTcEMVLocal
BT-EDM,7BT,1EDM,BTcEMVCommuter
EDM-BT,1EDM,7BT,BTcEMVCommuter
LT,9LT,9LT,LTcEMVLocal
EDM-LT,1EDM,9LT,LTcEMVCommuter
LT-EDM,9LT,1EDM,LTcEMVCommuter
