pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
Chur-37,E1,E209,2,1,20,,30,,,,Churchill Square 102 Ave
Chur-2,E209,E5,1,1,104,,,0.03,,Churchill LRT Station,City Centre
Chur-33,E5,18762,2,1,20,,44,,,Proof of Payment Area,The Arts District South
Chur-29,18762,E5,4,0,20,,35,,,The Arts District South,Proof of Payment Area
Chur-19,E5,18762,5,1,20,60,,,,ToTrains,To Concourse
Chur-6,E18,E209,5,1,19,30,,,,,Tix on the Square
Chur-38,E6,E5,2,1,40,,32,,,Churchill LRT Station,Winspear Centre
Chur-39,E6,E5,5,1,28,,,,,Churchilll LRT Station,Winspear Centre
Chur-8,E8,E10,2,1,29,,35,,,Churchill LRT Station,Chancery Hall
Chur-7,E8,E10,5,1,10,50,,,,,Elevator to Chancery Hall
Chur-11,E13,E16,2,1,34,,42,,,,
Chur-10,E13,E16,5,1,18,30,,,,,
Chur-27,E16,18762,2,1,20,,44,,,Churchill LRT Station,The Arts District North
Chur-23,18762,E16,4,0,20,,35,,,The Arts District North,Churchill LRT Station
Chur-1,E12,E16,2,1,34,,38,,,Churchill LRT,102 A Avenue
Chur-15,E20,E217,2,1,40,,45,,,Churchill LRT Station,City Hall
Chur-31,E217,E16,1,1,63,,,,,,
Chur-9,E20,E217,5,1,45,45,,,,Churchill LRT Station,City Hall
Sgt-2,E25,E33,2,1,13,,80,,,Southgate LRT Station,111 Street Northbound
Sgt-1,E25,E33,5,1,45,,,,,Southgate LRT Station,111 Street Northbound
Sgt-10,E33,21131,2,1,23,,35,,,Proof of Payment Area,
Sgt-9,21131,E33,4,0,23,,30,,,,
Sgt-3,E33,21132,2,1,23,,35,,,Proof of Payment Area,
Sgt-4,21132,E33,4,0,23,,30,,,,
Sgt-11,E33,21132,2,1,23,,35,,,Proof of Payment Area,
Sgt-7,E33,21131,2,1,23,,35,,,Proof of Payment Area,
Sgt-5,E33,21131,5,1,10,50,,,,,
Sgt-8,E33,E34,1,1,41,,,,,Southgate Transit Centre,
Sgt-12,E34,E210,5,1,0,50,,,,,
Sgt-13,E36,E34,2,1,37,,38,,,Southgate LRT Station,
Sgt-15,E38,E34,2,1,33,,38,,,Southgate LRT Station,
Sgt-14,E38,E34,4,1,33,,30,,,Southgate Transit Centre,
CenPk-2,E211,E40,2,1,36,,10,,,111 Street Pedway,Century Park LRT Station
CenPk-1,E40,E211,1,1,54,,,0.03,,Century Park LRT Station,111 Street Pedway
CenPk-3,E211,49821,5,1,40,,,,,To Trains,To Upper Level
CenPk-7,E211,49821,2,1,30,,39,,,Proof of Payment Area,
