area_id,stop_id
1EDM,1001
1EDM,1002
1EDM,1010
1EDM,1015
1EDM,1017
1EDM,1019
1EDM,1020
1EDM,1021
1EDM,1022
1EDM,1023
1EDM,1024
1EDM,1025
1EDM,1026
1EDM,1027
1EDM,1028
1EDM,1029
1EDM,1030
1EDM,1031
1EDM,1032
1EDM,1033
1EDM,1034
1EDM,1035
1EDM,1036
1EDM,1037
1EDM,1038
1EDM,1039
1EDM,1040
1EDM,1041
1EDM,1042
1EDM,1044
1EDM,1045
1EDM,1046
1EDM,1047
1EDM,1048
1EDM,1050
1EDM,1051
1EDM,1053
1EDM,1054
1EDM,1055
1EDM,1056
1EDM,1057
1EDM,1058
1EDM,1059
1EDM,1061
1EDM,1063
1EDM,1064
1EDM,1065
1EDM,1066
1EDM,1067
1EDM,1068
1EDM,1069
1EDM,1070
1EDM,1071
1EDM,1072
1EDM,1075
1EDM,1076
1EDM,1077
1EDM,1078
1EDM,1079
1EDM,1080
1EDM,1081
1EDM,1082
1EDM,1083
1EDM,1086
1EDM,1087
1EDM,1090
1EDM,1091
1EDM,1092
1EDM,1093
1EDM,1094
1EDM,1096
1EDM,1098
1EDM,1104
1EDM,1105
1EDM,1106
1EDM,1107
1EDM,1108
1EDM,1109
1EDM,11094
1EDM,11095
1EDM,11096
1EDM,11097
1EDM,1110
1EDM,1111
1EDM,1112
1EDM,1113
1EDM,1120
1EDM,1121
1EDM,1122
1EDM,1123
1EDM,1124
1EDM,1126
1EDM,1127
1EDM,1129
1EDM,1130
1EDM,11308
1EDM,11309
1EDM,1131
1EDM,11316
1EDM,11318
1EDM,11319
1EDM,1132
1EDM,11320
1EDM,11322
1EDM,11324
1EDM,11325
1EDM,11326
1EDM,1133
1EDM,11334
1EDM,11338
1EDM,1134
1EDM,11344
1EDM,1136
1EDM,11361
1EDM,1137
1EDM,11372
1EDM,11373
1EDM,1138
1EDM,11382
1EDM,11387
1EDM,1139
1EDM,11399
1EDM,1140
1EDM,1142
1EDM,1143
1EDM,1144
1EDM,1146
1EDM,1149
1EDM,1150
1EDM,1152
1EDM,1154
1EDM,1156
1EDM,1157
1EDM,1158
1EDM,1159
1EDM,1160
1EDM,1163
1EDM,1164
1EDM,1165
1EDM,1167
1EDM,1168
1EDM,1169
1EDM,1170
1EDM,1171
1EDM,1173
1EDM,1174
1EDM,1175
