from_stop_id,to_stop_id,transfer_type,min_transfer_time
1516,1515,2,300
1515,1516,2,300
2716,2715,2,300
2715,2716,2,300
2877,2687,2,300
2687,2877,2,300
3876,3875,2,300
3875,3876,2,300
3899,3900,2,300
3900,3899,2,300
1408,1407,2,180
1407,1408,2,180
1210,1211,2,180
1211,1210,2,180
1105,1104,2,180
1104,1105,2,180
2306,2301,2,180
2301,2306,2,180
2712,2714,2,180
2714,2712,2,180
2001,2002,2,180
2002,2001,2,180
2707,2712,2,180
2712,2707,2,180
2707,2714,2,240
2714,2707,2,240
2701,2707,2,240
2707,2701,2,240
2701,2712,2,180
2712,2701,2,180
2701,2714,2,180
2714,2701,2,180
5840,5216,2,375
5216,5840,2,375
5210,5204,2,180
5204,5210,2,180
1202,1210,2,180
1210,1202,2,180
1202,1211,2,180
1211,1202,2,180
2609,2687,2,180
2687,2609,2,180
2609,2877,2,180
2877,2609,2,180
1079,1202,2,180
1202,1079,2,180
1079,1210,2,180
1210,1079,2,180
1079,1211,2,180
1211,1079,2,180
1208,1079,2,180
1079,1208,2,180
1208,1202,2,180
1202,1208,2,180
1208,1210,2,180
1210,1208,2,180
1208,1211,2,240
1211,1208,2,240
1201,1079,2,180
1079,1201,2,180
1201,1202,2,180
1202,1201,2,180
1201,1208,2,180
1208,1201,2,180
1201,1210,2,180
1210,1201,2,180
1201,1211,2,180
1211,1201,2,180
1131,1079,2,180
1079,1131,2,180
1131,1201,2,180
1201,1131,2,180
1131,1202,2,180
1202,1131,2,180
1131,1208,2,240
1208,1131,2,240
1131,1210,2,240
1210,1131,2,240
1131,1211,2,240
1211,1131,2,240
2134,2798,2,375
2798,2134,2,375
1890,1860,2,180
1860,1890,2,180
2206,2213,2,180
2213,2206,2,180
7011,7003,2,180
7003,7011,2,180
49821,4216,2,300
4216,49821,2,300
21131,2206,2,300
2206,21131,2,300
21131,2213,2,300
2213,21131,2,300
21151,2701,2,300
2701,21151,2,300
21151,2707,2,300
2707,21151,2,300
21151,2712,2,300
2712,21151,2,300
21151,2714,2,300
2714,21151,2,300
23161,2001,2,300
2001,23161,2,300
23161,2002,2,300
2002,23161,2,300
18761,1515,2,300
1515,18761,2,300
18761,1516,2,300
1516,18761,2,300
19811,1407,2,300
1407,19811,2,300
19811,1408,2,300
1408,19811,2,300
18891,1079,2,300
1079,18891,2,300
18891,1131,2,300
1131,18891,2,300
18891,1201,2,300
1201,18891,2,300
18891,1202,2,300
1202,18891,2,300
18891,1208,2,300
1208,18891,2,300
18891,1210,2,300
1210,18891,2,300
18891,1211,2,300
1211,18891,2,300
79771,7903,2,300
7903,79771,2,300
79772,7903,2,300
7903,79772,2,300
79772,79771,2,300
79771,79772,2,300
78302,78301,2,300
78301,78302,2,300
18892,1079,2,300
1079,18892,2,300
18892,1131,2,300
1131,18892,2,300
18892,1201,2,300
1201,18892,2,300
18892,1202,2,300
1202,18892,2,300
18892,1208,2,300
1208,18892,2,300
18892,1210,2,300
1210,18892,2,300
18892,1211,2,300
1211,18892,2,300
18892,18891,2,300
18891,18892,2,300
19812,1407,2,300
1407,19812,2,300
19812,1408,2,300
1408,19812,2,300
19812,19811,2,300
19811,19812,2,300
